borough,areaName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brooklyn,Greenpoint,314,78,111,143,328,53,349,460,1310,130,695,327,1437,1347,1545
Brooklyn,Williamsburg,2211,845,810,1337,844,1235,903,1480,798,1511,497,273,171,675,831
Brooklyn,South Williamsburg,161,101,30,127,25,15,284,13,249,94,104,-10,181,80,312
Brooklyn,East Williamsburg,358,327,248,270,228,325,183,501,206,328,348,156,173,448,810
Brooklyn,Brooklyn Heights,-4,99,18,25,-30,53,178,62,-125,526,152,-17,104,110,-16
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,847,452,96,99,1148,1330,651,1721,1145,222,1209,1296,553,1038,1245
Brooklyn,Fort Greene,125,181,209,353,-11,241,1308,480,312,167,4,465,9,3,412
Brooklyn,Clinton Hill,113,115,213,80,109,220,105,340,118,679,97,95,487,261,45
Brooklyn,Brooklyn Navy Yard,0,0,0,0,0,0,-6,-1,0,0,0,-1,0,0,0
Brooklyn,Bedford-Stuyvesant (West),281,404,246,412,225,356,655,495,491,686,710,561,428,548,318
Brooklyn,Bedford-Stuyvesant (East),62,165,275,119,96,212,498,493,553,369,319,528,517,412,652
Brooklyn,Bushwick (West),292,272,84,208,172,201,263,397,1322,872,400,241,240,106,477
Brooklyn,Bushwick (East),179,-8,57,72,78,223,158,261,374,455,319,255,286,454,483
Brooklyn,The Evergreens Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Cypress Hills,10,2,4,24,7,2,5,72,19,4,113,29,269,92,711
Brooklyn,East New York (North),80,103,12,8,25,15,8,33,48,13,130,302,121,364,710
Brooklyn,East New York-New Lots,96,46,95,1,6,257,196,258,5,263,195,77,94,43,83
Brooklyn,Spring Creek-Starrett City,159,18,197,66,0,175,345,197,25,245,741,662,0,0,240
Brooklyn,East New York-City Line,66,211,16,123,-6,13,26,-1,16,3,45,245,14,326,139
Brooklyn,Highland Park-Cypress Hills Cemeteries (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,354,344,21,97,94,24,525,461,65,110,166,10,185,113,353
Brooklyn,Park Slope,-15,46,-3,119,64,-27,345,390,169,-2,146,852,62,162,18
Brooklyn,Windsor Terrace-South Slope,116,50,31,-2,186,79,-38,3,-2,6,239,18,13,-7,387
Brooklyn,Sunset Park (West),63,57,23,57,38,8,21,81,132,21,129,77,110,85,207
Brooklyn,Sunset Park (Central),101,122,33,35,17,19,15,19,41,77,42,25,98,61,43
Brooklyn,Green-Wood Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Prospect Heights,13,41,-2,48,112,28,465,426,16,87,58,451,5,810,57
Brooklyn,Crown Heights (North),190,180,454,65,316,162,271,320,538,291,277,251,152,404,555
Brooklyn,Lincoln Terrace Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Crown Heights (South),0,-1,104,10,-4,-10,-3,274,32,55,219,552,5,166,211
Brooklyn,Prospect Lefferts Gardens-Wingate,36,30,109,211,45,66,832,113,300,183,189,130,58,188,173
Brooklyn,Bay Ridge,17,5,40,3,7,36,-1,23,5,28,28,3,45,2,28
Brooklyn,Dyker Heights,11,9,-1,-2,8,12,19,3,9,1,5,13,153,13,24
Brooklyn,Fort Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Dyker Beach Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Bensonhurst,108,27,34,56,5,19,41,44,153,76,13,42,67,54,40
Brooklyn,Bath Beach,14,16,3,9,24,8,3,-4,7,10,33,46,12,29,56
Brooklyn,Gravesend (West),91,63,9,37,7,12,45,10,24,42,15,30,124,10,417
Brooklyn,Sunset Park (East)-Borough Park (West),72,78,26,33,23,9,41,37,42,98,128,47,19,64,112
Brooklyn,Borough Park,113,127,1,4,26,31,61,53,57,163,148,120,24,9,49
Brooklyn,Kensington,4,7,7,2,2,34,16,53,-2,16,11,45,11,30,-5
Brooklyn,Mapleton-Midwood (West),42,3,-2,17,-5,9,0,-4,6,-10,219,49,-19,75,0
Brooklyn,Gravesend (South),55,10,-6,58,64,24,12,4,-3,18,12,16,18,13,-3
Brooklyn,Coney Island-Sea Gate,68,-6,25,188,-2,19,9,13,57,1164,139,656,202,8,840
Brooklyn,Brighton Beach,38,12,78,74,69,3,116,58,48,69,9,30,24,-2,25
Brooklyn,Calvert Vaux Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Flatbush,232,131,12,4,120,-2,-2,240,181,126,286,744,179,148,340
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,25,58,1,16,10,2,52,127,139,104,47,38,92,39,154
Brooklyn,Midwood,42,17,-2,23,-4,15,-4,276,5,459,44,171,92,31,125
Brooklyn,Gravesend (East)-Homecrest,3,35,-7,5,7,-15,1,18,6,24,8,39,-96,-4,46
Brooklyn,Madison,72,21,25,43,5,-3,18,109,142,55,203,59,82,60,26
