areaName,Borough,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Astoria,Queens,67.5,63.75,127.08333333333333,321.75,842.5,1149.0,1276.75,1960.25,1840.6666666666667,1586.5,2128.25,2341.5,1059.0,1138.0833333333333,1353.5833333333333,1301.5
Auburndale,Queens,0.5833333333333334,2.5833333333333335,6.583333333333333,4.416666666666667,5.583333333333333,13.666666666666666,14.25,17.166666666666668,17.083333333333332,19.333333333333332,17.166666666666668,12.583333333333334,11.25,13.583333333333334,11.333333333333334,7.5
Bath Beach,Brooklyn,1.5,6.75,6.0,6.0,10.333333333333334,20.166666666666668,23.666666666666668,33.333333333333336,48.916666666666664,53.166666666666664,29.083333333333332,68.66666666666667,39.5,24.416666666666668,30.833333333333332,29.0
Battery Park City,Manhattan,194.16666666666666,220.75,267.0833333333333,317.3333333333333,318.9166666666667,285.9166666666667,273.5,238.75,214.33333333333334,208.58333333333334,309.75,226.66666666666666,148.75,199.33333333333334,174.33333333333334,175.5
Bay Ridge,Brooklyn,39.75,43.833333333333336,35.333333333333336,102.08333333333333,257.5,280.1666666666667,268.5833333333333,477.0833333333333,557.25,514.9166666666666,401.0833333333333,515.8333333333334,300.9166666666667,245.41666666666666,227.0,211.0
Baychester,Bronx,0.0,0.08333333333333333,0.5,0.08333333333333333,0.0,0.08333333333333333,0.5,0.6666666666666666,0.0,0.5833333333333334,2.5,0.6666666666666666,1.25,1.0833333333333333,1.5,0.0
Bayside,Queens,7.583333333333333,14.0,15.25,14.583333333333334,25.666666666666668,28.083333333333332,38.75,43.666666666666664,35.833333333333336,52.583333333333336,48.083333333333336,44.0,45.583333333333336,42.166666666666664,48.333333333333336,43.5
Bedford Park,Bronx,2.5833333333333335,5.666666666666667,7.916666666666667,7.0,30.0,53.25,39.75,30.666666666666668,15.166666666666666,21.25,12.75,14.416666666666666,24.583333333333332,20.166666666666668,18.083333333333332,7.5
Bedford-Stuyvesant,Brooklyn,118.33333333333333,156.08333333333334,211.33333333333334,381.5,910.4166666666666,1433.5,1557.3333333333333,1886.8333333333333,1883.75,1839.4166666666667,2463.3333333333335,2367.0,1330.5833333333333,1507.1666666666667,1649.5,1287.0
Bellerose,Queens,0.75,0.0,0.0,0.5833333333333334,7.333333333333333,5.5,7.25,4.0,3.4166666666666665,4.583333333333333,1.8333333333333333,2.25,3.5,3.5,2.25,2.0
Belmont,Bronx,0.6666666666666666,0.25,10.916666666666666,9.333333333333334,7.666666666666667,16.833333333333332,19.833333333333332,30.166666666666668,35.333333333333336,36.75,22.75,24.916666666666668,26.25,19.25,22.083333333333332,30.5
Bensonhurst,Brooklyn,4.166666666666667,9.416666666666666,6.833333333333333,14.333333333333334,27.0,41.5,39.416666666666664,54.833333333333336,93.25,78.41666666666667,69.16666666666667,103.58333333333333,64.41666666666667,38.083333333333336,39.75,32.5
Bergen Beach,Brooklyn,0.5,0.3333333333333333,1.0,1.5833333333333333,5.916666666666667,5.0,6.333333333333333,12.25,11.333333333333334,10.583333333333334,7.083333333333333,8.166666666666666,12.25,13.666666666666666,9.666666666666666,5.5
Boerum Hill,Brooklyn,37.083333333333336,31.333333333333332,35.833333333333336,63.5,129.0,143.0,161.0,206.0,152.5,145.41666666666666,235.58333333333334,165.33333333333334,83.0,122.33333333333333,118.58333333333333,78.0
Borough Park,Brooklyn,6.0,10.083333333333334,6.916666666666667,7.0,26.166666666666668,35.666666666666664,47.25,65.75,68.08333333333333,76.5,62.083333333333336,78.0,70.66666666666667,50.083333333333336,44.583333333333336,47.5
Briarwood,Queens,7.583333333333333,5.25,6.25,14.083333333333334,31.166666666666668,59.916666666666664,65.58333333333333,90.25,61.583333333333336,73.91666666666667,91.33333333333333,116.66666666666667,112.16666666666667,88.91666666666667,57.916666666666664,60.5
Brighton Beach,Brooklyn,3.1666666666666665,10.083333333333334,15.166666666666666,33.916666666666664,46.666666666666664,91.08333333333333,73.25,78.91666666666667,86.08333333333333,87.08333333333333,69.41666666666667,71.25,57.0,50.0,41.333333333333336,43.0
Bronxwood,Bronx,0.25,1.6666666666666667,4.083333333333333,1.5833333333333333,5.666666666666667,7.0,7.583333333333333,20.666666666666668,22.166666666666668,19.666666666666668,10.916666666666666,12.833333333333334,24.833333333333332,16.0,7.833333333333333,6.5
Brooklyn Heights,Brooklyn,92.16666666666667,83.25,104.0,155.58333333333334,258.0,271.5833333333333,284.6666666666667,333.9166666666667,238.5,273.8333333333333,394.8333333333333,279.0,175.08333333333334,197.33333333333334,176.08333333333334,142.0
Brookville,Queens,0.3333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.75,0.75,1.3333333333333333,0.75,1.0833333333333333,2.3333333333333335,0.8333333333333334,2.75,2.8333333333333335,1.5
