Year,NYNGSP,FEDFUNDS,Housing Inflation
2010,1217748.0,0.17500000000000002,257.261
2011,1245769.4,0.10166666666666667,259.081
2012,1324471.3,0.14,262.677
2013,1364632.9,0.1075,268.881
2014,1434606.3,0.08916666666666667,277.625
2015,1498474.7,0.1325,277.285
2016,1556830.0,0.395,280.378
2017,1624800.7,1.0016666666666667,289.262
2018,1710665.6,1.8316666666666668,294.441
2019,1787470.9,2.158333333333333,301.14
2020,1773369.8,0.3758333333333333,307.061
2021,1923413.3,0.08,310.692
2022,2052758.8,1.6833333333333333,321.255
2023,2172009.6,5.024166666666667,340.465
